ds,y,hour,weekday,month,is_weekend,hour_sin,hour_cos,lag_1,lag_24,lag_168,rolling_mean_3,rolling_mean_24
2016-03-07 04:00:00+00:00,1.7242,4,0,3,0,0.8660254037844386,0.5000000000000001,0.90095,1.1273166666666665,0.9209999999999999,1.403966666666667,1.1137006944444443
2016-03-07 05:00:00+00:00,0.9335833333333333,5,0,3,0,0.9659258262890683,0.25881904510252074,1.7242,1.0595333333333334,0.48535,1.5412333333333337,1.1385708333333333
2016-03-07 06:00:00+00:00,0.6758000000000001,6,0,3,0,1.0,6.123233995736766e-17,0.9335833333333333,0.9299166666666667,0.35810000000000003,1.1862444444444449,1.1333229166666665
2016-03-07 07:00:00+00:00,0.5133666666666666,7,0,3,0,0.9659258262890683,-0.25881904510252063,0.6758000000000001,0.8558666666666668,0.3685833333333333,1.1111944444444448,1.1227347222222221
2016-03-07 08:00:00+00:00,0.5378666666666666,8,0,3,0,0.8660254037844387,-0.4999999999999998,0.5133666666666666,0.6179333333333333,0.4174333333333333,0.7075833333333336,1.108463888888889
2016-03-07 09:00:00+00:00,0.6144166666666667,9,0,3,0,0.7071067811865476,-0.7071067811865475,0.5378666666666666,0.5266833333333333,0.4014333333333333,0.5756777777777781,1.105127777777778
2016-03-07 10:00:00+00:00,0.5864499999999999,10,0,3,0,0.49999999999999994,-0.8660254037844387,0.6144166666666667,0.4201166666666667,0.3359166666666667,0.5552166666666669,1.1087833333333335
2016-03-07 11:00:00+00:00,0.5079333333333333,11,0,3,0,0.258819045102521,-0.9659258262890682,0.5864499999999999,0.47631666666666667,0.2949333333333334,0.5795777777777781,1.115713888888889
2016-03-07 12:00:00+00:00,0.7356999999999999,12,0,3,0,1.2246467991473532e-16,-1.0,0.5079333333333333,0.5408166666666666,0.6727333333333333,0.5696000000000003,1.11703125
2016-03-07 13:00:00+00:00,1.1025666666666667,13,0,3,0,-0.2588190451025208,-0.9659258262890683,0.7356999999999999,0.46135000000000004,1.2751166666666667,0.6100277777777781,1.1251513888888889
2016-03-07 14:00:00+00:00,0.48558333333333337,14,0,3,0,-0.4999999999999997,-0.8660254037844388,1.1025666666666667,0.4280333333333334,0.36428333333333335,0.782066666666667,1.15186875
2016-03-07 15:00:00+00:00,0.47768333333333335,15,0,3,0,-0.7071067811865471,-0.7071067811865479,0.48558333333333337,0.8096833333333334,0.31465000000000004,0.7746166666666671,1.1542666666666668
2016-03-07 16:00:00+00:00,0.34613333333333335,16,0,3,0,-0.8660254037844385,-0.5000000000000004,0.47768333333333335,0.91925,0.3109166666666667,0.6886111111111114,1.1404333333333334
2016-03-07 17:00:00+00:00,0.39126666666666665,17,0,3,0,-0.9659258262890683,-0.25881904510252063,0.34613333333333335,0.7971,0.41611666666666663,0.436466666666667,1.1165534722222221
2016-03-07 18:00:00+00:00,0.4587,18,0,3,0,-1.0,-1.8369701987210297e-16,0.39126666666666665,1.0625166666666666,0.30913333333333337,0.40502777777777804,1.09964375
2016-03-07 19:00:00+00:00,0.47758333333333336,19,0,3,0,-0.9659258262890684,0.2588190451025203,0.4587,1.19445,0.28005,0.3987000000000003,1.0744847222222222
2016-03-07 20:00:00+00:00,0.3792,20,0,3,0,-0.8660254037844386,0.5000000000000001,0.47758333333333336,0.9313666666666667,0.311,0.44251666666666695,1.0446152777777777
2016-03-07 21:00:00+00:00,0.37879999999999997,21,0,3,0,-0.7071067811865477,0.7071067811865474,0.3792,1.4135166666666668,0.35213333333333335,0.43849444444444474,1.0216083333333332
2016-03-07 22:00:00+00:00,0.4177,22,0,3,0,-0.5000000000000004,0.8660254037844384,0.37879999999999997,1.55265,0.3630333333333333,0.41186111111111146,0.9784951388888888
2016-03-07 23:00:00+00:00,0.7754,23,0,3,0,-0.25881904510252157,0.9659258262890681,0.4177,4.112283333333333,0.4325333333333333,0.3919000000000003,0.9312055555555555
2016-03-08 00:00:00+00:00,1.0845999999999998,0,1,3,0,0.0,1.0,0.7754,2.2802166666666666,2.00605,0.5239666666666669,0.79216875
2016-03-08 01:00:00+00:00,1.5145000000000002,1,1,3,0,0.25881904510252074,0.9659258262890683,1.0845999999999998,1.3124,1.6045833333333335,0.7592333333333334,0.742351388888889
2016-03-08 02:00:00+00:00,1.4498666666666666,2,1,3,0,0.49999999999999994,0.8660254037844387,1.5145000000000002,1.99855,1.17755,1.1248333333333336,0.7507722222222223
2016-03-08 03:00:00+00:00,1.2186,3,1,3,0,0.7071067811865476,0.7071067811865476,1.4498666666666666,0.90095,1.04625,1.3496555555555558,0.7279104166666667
2016-03-08 04:00:00+00:00,0.83525,4,1,3,0,0.8660254037844386,0.5000000000000001,1.2186,1.7242,0.7135499999999999,1.3943222222222225,0.7411458333333334
2016-03-08 05:00:00+00:00,1.2294833333333335,5,1,3,0,0.9659258262890683,0.25881904510252074,0.83525,0.9335833333333333,0.7020833333333333,1.1679055555555558,0.7041062499999998
